,date,weighted_average_score
0,2024-07-01,3.9444444444444446
1,2024-07-02,3.1363636363636362
2,2024-07-03,3.75
3,2024-07-04,3.75
4,2024-07-05,3.5
5,2024-07-06,3.411764705882353
6,2024-07-07,2.4285714285714284
7,2024-07-08,3.933333333333333
8,2024-07-09,3.1153846153846154
9,2024-07-10,2.230769230769231
10,2024-07-11,3.2
11,2024-07-12,3.0
12,2024-07-13,2.8666666666666667
13,2024-07-14,2.25
14,2024-07-15,3.3636363636363638
15,2024-07-16,3.7222222222222223
16,2024-07-17,3.5
17,2024-07-18,2.975
18,2024-07-19,3.5357142857142856
19,2024-07-20,2.8461538461538463
20,2024-07-21,3.0869565217391304
21,2024-07-22,3.7857142857142856
22,2024-07-23,3.12
23,2024-07-24,3.9545454545454546
24,2024-07-25,3.5652173913043477
25,2024-07-26,3.3181818181818183
26,2024-07-27,3.217391304347826
27,2024-07-28,3.9473684210526314
28,2024-07-29,3.3
29,2024-07-30,2.7241379310344827
30,2024-07-31,3.269230769230769
31,2024-08-01,3.8
32,2024-08-02,2.8947368421052633
33,2024-08-03,3.1578947368421053
34,2024-08-04,3.8636363636363638
35,2024-08-05,3.85
36,2024-08-06,3.1666666666666665
37,2024-08-07,3.4411764705882355
38,2024-08-08,3.3125
39,2024-08-09,3.0357142857142856
40,2024-08-10,4.7
41,2024-08-11,3.6
42,2024-08-12,2.5714285714285716
43,2024-08-13,1.9583333333333333
44,2024-08-14,1.7011494252873562
45,2024-08-15,1.9157894736842105
46,2024-08-16,1.8644067796610169
47,2024-08-17,1.7234042553191489
48,2024-08-18,2.225806451612903
49,2024-08-19,1.55
